Strike Price,Historical_Volatility,risk-rate,Maturity,Call Option Price,Volatility
0.8,0.1,0.05,1,0.23909977894038414,0.1
0.8,0.10404040404040404,0.05,1,0.2391388405745779,0.10404040404040404
0.8,0.10808080808080808,0.05,1,0.23918987057230445,0.10808080808080808
0.8,0.11212121212121212,0.05,1,0.23925464199419544,0.11212121212121212
0.8,0.11616161616161616,0.05,1,0.23933483876514938,0.11616161616161616
0.8,0.1202020202020202,0.05,1,0.23943202160246968,0.1202020202020202
0.8,0.12424242424242425,0.05,1,0.2395476040507224,0.12424242424242425
0.8,0.12828282828282828,0.05,1,0.23968283765623144,0.12828282828282828
0.8,0.13232323232323234,0.05,1,0.2398388049289104,0.13232323232323234
0.8,0.13636363636363635,0.05,1,0.24001641861048284,0.13636363636363635
0.8,0.14040404040404042,0.05,1,0.24021642580792124,0.14040404040404042
0.8,0.14444444444444446,0.05,1,0.2404394156887607,0.14444444444444446
0.8,0.1484848484848485,0.05,1,0.24068582961981932,0.1484848484848485
0.8,0.15252525252525254,0.05,1,0.24095597282858017,0.15252525252525254
0.8,0.15656565656565657,0.05,1,0.24125002685616836,0.15656565656565657
0.8,0.1606060606060606,0.05,1,0.24156806224110472,0.1606060606060606
0.8,0.16464646464646465,0.05,1,0.24191005101888508,0.16464646464646465
0.8,0.1686868686868687,0.05,1,0.24227587874307255,0.1686868686868687
0.8,0.17272727272727273,0.05,1,0.24266535583044746,0.17272727272727273
0.8,0.17676767676767677,0.05,1,0.24307822810851842,0.17676767676767677
0.8,0.1808080808080808,0.05,1,0.24351418650145784,0.1808080808080808
0.8,0.18484848484848487,0.05,1,0.24397287583341898,0.18484848484848487
0.8,0.18888888888888888,0.05,1,0.24445390275909407,0.18888888888888888
0.8,0.19292929292929295,0.05,1,0.24495684285280817,0.19292929292929295
0.8,0.19696969696969696,0.05,1,0.24548124690156403,0.19696969696969696
0.8,0.20101010101010103,0.05,1,0.24602664645600703,0.20101010101010103
0.8,0.20505050505050504,0.05,1,0.24659255869770713,0.20505050505050504
0.8,0.2090909090909091,0.05,1,0.24717849068257491,0.2090909090909091
0.8,0.21313131313131314,0.05,1,0.247783943019516,0.21313131313131314
0.8,0.21717171717171718,0.05,1,0.24840841304127792,0.21717171717171718
0.8,0.22121212121212122,0.05,1,0.24905139752134697,0.22121212121212122
0.8,0.22525252525252526,0.05,1,0.2497123949870984,0.22525252525252526
0.8,0.2292929292929293,0.05,1,0.2503909076754728,0.2292929292929293
0.8,0.23333333333333334,0.05,1,0.2510864431734472,0.23333333333333334
0.8,0.23737373737373738,0.05,1,0.25179851578160883,0.23737373737373738
0.8,0.24141414141414141,0.05,1,0.25252664763535615,0.24141414141414141
0.8,0.24545454545454545,0.05,1,0.2532703696146591,0.24545454545454545
0.8,0.2494949494949495,0.05,1,0.2540292220699806,0.2494949494949495
0.8,0.2535353535353535,0.05,1,0.2548027553888884,0.2535353535353535
0.8,0.25757575757575757,0.05,1,0.2555905304250863,0.25757575757575757
0.8,0.26161616161616164,0.05,1,0.25639211880904444,0.26161616161616164
0.8,0.2656565656565657,0.05,1,0.25720710315712836,0.2656565656565657
0.8,0.2696969696969697,0.05,1,0.2580350771940666,0.2696969696969697
0.8,0.2737373737373737,0.05,1,0.2588756458017628,0.2737373737373737
0.8,0.2777777777777778,0.05,1,0.25972842500582716,0.2777777777777778
0.8,0.28181818181818186,0.05,1,0.26059304190975574,0.28181818181818186
0.8,0.28585858585858587,0.05,1,0.2614691345854001,0.28585858585858587
0.8,0.2898989898989899,0.05,1,0.26235635192724005,0.2898989898989899
0.8,0.29393939393939394,0.05,1,0.2632543534769787,0.29393939393939394
0.8,0.297979797979798,0.05,1,0.2641628092240945,0.297979797979798
0.8,0.302020202020202,0.05,1,0.26508139938722364,0.302020202020202
0.8,0.30606060606060603,0.05,1,0.2660098141805649,0.30606060606060603
0.8,0.3101010101010101,0.05,1,0.2669477535689103,0.3101010101010101
0.8,0.31414141414141417,0.05,1,0.26789492701439144,0.31414141414141417
0.8,0.3181818181818182,0.05,1,0.26885105321757363,0.3181818181818182
0.8,0.3222222222222222,0.05,1,0.2698158598551442,0.3222222222222222
0.8,0.32626262626262625,0.05,1,0.2707890833160933,0.32626262626262625
0.8,0.3303030303030303,0.05,1,0.2717704684379906,0.3303030303030303
0.8,0.3343434343434344,0.05,1,0.27275976824470394,0.3343434343434344
0.8,0.3383838383838384,0.05,1,0.27375674368667524,0.3383838383838384
0.8,0.3424242424242424,0.05,1,0.27476116338468426,0.3424242424242424
0.8,0.3464646464646465,0.05,1,0.2757728033778547,0.3464646464646465
0.8,0.35050505050505054,0.05,1,0.27679144687651636,0.35050505050505054
0.8,0.3545454545454545,0.05,1,0.2778168840204106,0.3545454545454545
0.8,0.35858585858585856,0.05,1,0.2788489116426207,0.35858585858585856
0.8,0.36262626262626263,0.05,1,0.27988733303951385,0.36262626262626263
0.8,0.3666666666666667,0.05,1,0.2809319577469058,0.3666666666666667
0.8,0.37070707070707076,0.05,1,0.2819826013225909,0.37070707070707076
